player_nickname,body_part_name,sub_type_name,x,y,outcome_name,shot_statsbomb_xg,end_x,end_y,technique_name,box
Luis Suárez,Right Foot,Open Play,104.7,22.6,Saved,0.040394522,119,41.7,Normal,inside
Alphonso Davies,Left Foot,Open Play,94.4,32,Blocked,0.0249685,99,34.1,Normal,outside
Moise Bombito,Head,Open Play,109.4,38.8,Off T,0.052749198,120,46.6,Normal,inside
José Giménez,Left Foot,Open Play,108.2,44.4,Blocked,0.10195964,109.6,43.6,Normal,inside
Federico Valverde,Left Foot,Open Play,102.7,53.9,Blocked,0.032977764,105.4,50.5,Normal,inside
Ismael Koné,Right Foot,Open Play,94.8,48.8,Saved,0.045200363,115,41.6,Normal,outside
Jonathan David,Right Foot,Open Play,107.2,45.2,Goal,0.2036517,120,43.1,Normal,inside
José Giménez,Head,Open Play,111,34.8,Off T,0.10253947,120,36.9,Normal,inside
Luis Suárez,Left Foot,Open Play,112.1,51.1,Saved,0.2381264,115.9,46.1,Normal,inside
Luis Suárez,Left Foot,Open Play,110,38.2,Goal,0.5269911,120,36.9,Normal,inside
Jonathan David,Right Foot,Penalty,108,40,Goal,0.7835,120,37,Normal,inside
Federico Valverde,Right Foot,Penalty,108,40,Goal,0.7835,120,36.6,Normal,inside
Moise Bombito,Right Foot,Penalty,107.9,40,Goal,0.7835,120,42.1,Normal,inside
Rodrigo Bentancur,Right Foot,Penalty,108.1,40,Goal,0.7835,120,36.5,Normal,inside
Ismael Koné,Right Foot,Penalty,108,40,Saved,0.7835,119,37.3,Normal,inside
Giorgian De Arrascaeta,Right Foot,Penalty,108.1,40,Goal,0.7835,120,40.7,Normal,inside
Mathieu Choinière,Right Foot,Penalty,108,40,Goal,0.7835,120,36.9,Normal,inside
Luis Suárez,Right Foot,Penalty,108,40,Goal,0.7835,120,43.6,Normal,inside
Alphonso Davies,Left Foot,Penalty,108,40,Post,0.7835,120,40.3,Normal,inside
Jhon Arias,Right Foot,Open Play,97.9,53.9,Off T,0.028679429,120,46.7,Normal,outside
Daniel Muñoz,Head,Open Play,109.4,46.1,Off T,0.03315231,120,34.5,Normal,inside
Jefferson Lerma,Right Foot,Open Play,85.8,39.6,Off T,0.02149545,120,32.5,Normal,outside
Darwin Núñez,Left Foot,Open Play,103.5,44.4,Off T,0.19758813,120,35.1,Normal,inside
Darwin Núñez,Right Foot,Open Play,108,55,Off T,0.06373397,120,30.2,Normal,inside
Darwin Núñez,Left Foot,Open Play,115.3,24.6,Wayward,0.010765386,115.4,50.7,Volley,inside
Darwin Núñez,Right Foot,Open Play,99.4,38,Off T,0.09206518,120,45.1,Normal,outside
Jhon Córdoba,Head,Open Play,108.7,37.2,Off T,0.07243754,120,51.3,Normal,inside
Jefferson Lerma,Head,Open Play,115.2,33,Goal,0.067956895,120,36.4,Normal,inside
Richard,Left Foot,Open Play,104.9,50.4,Saved,0.09580204,118.8,42.4,Normal,inside
Luis Díaz,Right Foot,Open Play,105.6,27.8,Saved,0.029895175,118.5,36.1,Normal,inside
Jhon Córdoba,Head,Open Play,112.9,43.7,Off T,0.07621291,120,50.6,Normal,inside
Nicolás De La Cruz,Right Foot,Open Play,97.3,48.7,Saved,0.049437035,117,40.1,Normal,outside
Luis Suárez,Right Foot,Open Play,104.3,45.5,Post,0.0821633,120,44,Normal,inside
Federico Valverde,Right Foot,Open Play,99.2,30,Off T,0.03820826,120,35.2,Normal,outside
Manuel Ugarte,Right Foot,Open Play,92.8,43.1,Blocked,0.026881557,104,41.6,Normal,outside
José Giménez,Head,Open Play,111.7,38.7,Off T,0.067560256,120,28.6,Normal,inside
Mateus Uribe,Right Foot,Open Play,106,45.8,Off T,0.3295041,120,34.9,Normal,inside
Maximiliano Araújo,Left Foot,Open Play,96.4,28.4,Saved,0.03168038,119.1,36.6,Normal,outside
Mateus Uribe,Right Foot,Open Play,105.4,41,Saved to Post,0.4110613,113.2,40.1,Normal,inside
José Giménez,Right Foot,Open Play,106.9,35.8,Off T,0.09448011,120,28.3,Half Volley,inside
Jefferson Lerma,Right Foot,Open Play,58.9,68.3,Off T,0.005763508,120,47.3,Normal,outside
Jacob Shaffelburg,Left Foot,Open Play,108.6,25.4,Off T,0.032336574,120,35.7,Normal,inside
Jacob Shaffelburg,Left Foot,Open Play,106.2,26.7,Off T,0.07142339,120,49.9,Normal,inside
Lionel Messi,Left Foot,Open Play,100.6,48.6,Off T,0.037127987,120,45,Normal,outside
Alphonso Davies,Left Foot,Open Play,98,44.3,Blocked,0.030869147,99.8,44,Normal,outside
Julián Álvarez,Right Foot,Open Play,51.6,51,Off T,0.004420837,120,56.1,Lob,outside
Julián Álvarez,Right Foot,Open Play,107.5,42.5,Goal,0.5301857,120,39.8,Normal,inside
Ángel Di María,Left Foot,Open Play,100.7,58.9,Off T,0.023008127,120,35.5,Lob,outside
Nicolás Tagliafico,Left Foot,Open Play,106,26.3,Blocked,0.074080415,107.1,27.4,Normal,inside
Lisandro Martínez,Head,Open Play,110.3,49.8,Off T,0.025852688,120,44.6,Normal,inside
Lionel Messi,Right Foot,Open Play,105.8,34.5,Off T,0.07208383,120,34.7,Normal,inside
Lionel Messi,Left Foot,Open Play,99.9,36.1,Off T,0.051793475,120,42,Normal,outside
Jonathan David,Left Foot,Open Play,117.9,46.7,Saved,0.16585685,118.6,44.8,Half Volley,inside
Enzo Fernandez,Right Foot,Open Play,103.8,38,Blocked,0.1284656,114.6,41.1,Normal,inside
Lionel Messi,Left Foot,Open Play,114.9,41.2,Goal,0.59696823,120,41,Volley,inside
Julián Álvarez,Right Foot,Open Play,103.1,50,Saved,0.21224818,111.9,44.6,Normal,inside
Ismael Koné,Left Foot,Open Play,93.1,44,Off T,0.035827123,120,30.7,Normal,outside
Ismael Koné,Right Foot,Open Play,99.5,42.6,Blocked,0.04368048,105.1,43.5,Normal,outside
Liam Millar,Right Foot,Open Play,94.8,46.7,Off T,0.03551408,120,46.3,Normal,outside
Tanitoluwa Oluwaseyi,Left Foot,Open Play,102.6,35.8,Saved,0.1368422,114.9,38.7,Normal,inside
Tanitoluwa Oluwaseyi,Head,Open Play,108.7,41.9,Off T,0.124837294,120,45.5,Normal,inside
Jhon Córdoba,Head,Open Play,113.9,41,Goal,0.3861668,120,36.9,Diving Header,inside
José Fajardo Nelson,Left Foot,Open Play,101.4,44.2,Off T,0.06777355,120,32.7,Normal,outside
James Rodríguez,Left Foot,Penalty,108.1,40.1,Goal,0.7835,120,42.8,Normal,inside
Christian Martínez,Right Foot,Open Play,104.1,29.5,Blocked,0.051311065,104.9,30,Normal,inside
Roderick Miller,Head,Open Play,112.9,39.2,Post,0.11385643,120,44,Normal,inside
Roderick Miller,Head,Open Play,111,29.9,Off T,0.038880628,120,34.3,Normal,inside
Jhon Arias,Left Foot,Open Play,107.7,26.9,Blocked,0.034939244,109,28.1,Normal,inside
Jovani Welch,Right Foot,Open Play,83.4,47.2,Saved,0.00614207,115.9,41.1,Normal,outside
César Blackman,Right Foot,Open Play,96.7,38.1,Blocked,0.029990787,98.1,38.1,Normal,outside
Édgar Yoel Bárcenas,Right Foot,Free Kick,92.8,41.2,Blocked,0.0595853,103.2,42,Normal,outside
Luis Díaz,Right Foot,Open Play,97.2,39.6,Goal,0.15287241,120,42.5,Lob,outside
Eduardo Antonio Guerrero Lozcano,Right Foot,Open Play,110.6,57.2,Off T,0.013118277,120,24.1,Normal,inside
Edgardo Isaac Fariña Wynter,Right Foot,Open Play,92.2,52.8,Off T,0.021717247,120,43.1,Normal,outside
Richard,Right Foot,Open Play,95.4,27,Blocked,0.023777517,100.7,29.5,Normal,outside
Richard,Right Foot,Open Play,92.1,54.5,Goal,0.015648533,120,36.7,Normal,outside
Erick Davis,Left Foot,Free Kick,91.4,34,Off T,0.04029999,120,37.1,Normal,outside
Abdiel Ayarza,Head,Open Play,107.4,39.6,Blocked,0.048890207,109.3,39.8,Normal,inside
Michael Murillo,Right Foot,Open Play,96.1,50,Saved,0.04649593,116.4,40,Normal,outside
Jovani Welch,Right Foot,Open Play,98,24.7,Off T,0.024956783,120,44.6,Normal,outside
Abdiel Ayarza,Left Foot,Open Play,101.6,44.7,Off T,0.04693332,120,39.8,Half Volley,outside
Miguel Borja,Right Foot,Penalty,108,40,Goal,0.7835,120,43,Normal,inside
Raphinha,Left Foot,Free Kick,90.9,50.3,Blocked,0.036236256,100,47.5,Normal,outside
Manuel Ugarte,Right Foot,Open Play,93.3,35.8,Wayward,0.016443556,107.5,37.9,Volley,outside
Darwin Núñez,Head,Open Play,107.3,36.4,Blocked,0.038075346,110.7,38,Normal,inside
Mathías Olivera,Head,Open Play,113.9,42.6,Off T,0.14777625,120,38.5,Normal,inside
Darwin Núñez,Head,Open Play,113.1,36.8,Off T,0.1702761,120,41.4,Normal,inside
Raphinha,Right Foot,Open Play,103.4,44.7,Saved,0.37832454,111.6,43.3,Normal,inside
Rodrygo,Right Foot,Free Kick,93.5,46,Blocked,0.056309342,102.9,44.2,Normal,outside
Nicolás De La Cruz,Right Foot,Open Play,93.2,61.1,Wayward,0.00842821,105.4,45,Normal,outside
Raphinha,Left Foot,Open Play,100.6,40.7,Saved,0.1031144,105.7,41.1,Half Volley,outside
Federico Valverde,Right Foot,Open Play,93.5,53.5,Saved,0.014634685,117.2,40.5,Half Volley,outside
Darwin Núñez,Left Foot,Open Play,113.7,51.2,Blocked,0.06552414,115.2,45.3,Normal,inside
Sebastián Cáceres,Head,Open Play,113.2,42.1,Blocked,0.08991297,114.1,41.6,Normal,inside
Maximiliano Araújo,Left Foot,Open Play,103.9,20.7,Off T,0.008368154,120,32.7,Half Volley,inside
Maximiliano Araújo,Left Foot,Open Play,95.7,31.8,Off T,0.036541566,120,34.6,Normal,outside
Federico Valverde,Right Foot,Open Play,93.6,58,Off T,0.008586541,120,43,Normal,outside
Lucas Paquetá,Left Foot,Open Play,94.3,43.6,Blocked,0.030999025,104.8,43.3,Normal,outside
Rodrygo,Right Foot,Free Kick,88.4,34.5,Blocked,0.025375988,97.9,35.4,Normal,outside
Endrick,Left Foot,Open Play,95.2,44.4,Saved,0.045515202,116.4,42.9,Normal,outside
Federico Valverde,Right Foot,Free Kick,87.8,37.2,Blocked,0.025268784,98.1,37.8,Normal,outside
Federico Valverde,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,36.8,Normal,inside
Éder Militão,Right Foot,Penalty,108.1,40.1,Saved,0.7835,118.9,42.4,Normal,inside
Rodrigo Bentancur,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,43.3,Normal,inside
Andreas Pereira,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,36.5,Normal,inside
Giorgian De Arrascaeta,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,38.2,Normal,inside
Douglas Luiz,Right Foot,Penalty,108.1,40.1,Post,0.7835,120,36.1,Normal,inside
José Giménez,Right Foot,Penalty,108.1,40.1,Saved,0.7835,120,42.5,Normal,inside
Gabriel Martinelli,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,42.2,Normal,inside
Manuel Ugarte,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,42,Normal,inside
Alejandro Garnacho,Right Foot,Open Play,104.5,28.8,Blocked,0.0481728,106.1,29.9,Normal,inside
Carlos Zambrano,Head,Open Play,108.8,56,Off T,0.022370104,120,43.6,Normal,inside
Leandro Paredes,Right Foot,Free Kick,91.1,30.1,Saved,0.03344981,119.6,37.6,Normal,outside
Germán Pezzella,Head,Open Play,107.4,36.3,Off T,0.022256063,120,30.5,Normal,inside
Wilder Cartagena,Right Foot,Open Play,96.1,60,Blocked,0.007564963,103.9,53.4,Half Volley,outside
Ángel Di María,Left Foot,Open Play,100.2,57.6,Saved,0.022607885,119.2,42.7,Normal,outside
Giovani Lo Celso,Left Foot,Open Play,107.6,40.7,Saved,0.09750012,119.3,40.6,Normal,inside
Alejandro Garnacho,Right Foot,Open Play,105.3,28.3,Off T,0.07450442,120,45.1,Normal,inside
Lautaro Martínez,Right Foot,Open Play,106.1,47,Goal,0.343117,120,40.9,Lob,inside
Marcos López,Left Foot,Open Play,90.2,30.5,Saved,0.020770706,119.3,37.7,Normal,outside
Carlos Zambrano,Head,Open Play,107.3,45.2,Wayward,0.023530584,110.3,40.8,Normal,inside
Leandro Paredes,Right Foot,Penalty,108,40,Post,0.7835,120,44,Normal,inside
Lautaro Martínez,Right Foot,Open Play,107.7,42.3,Blocked,0.087158285,109,42.1,Half Volley,inside
Enzo Fernandez,Right Foot,Open Play,103.7,26.5,Off T,0.05281858,120,35.1,Normal,inside
Lautaro Martínez,Left Foot,Open Play,107,29.6,Saved,0.1792027,115.2,36.2,Normal,inside
Lautaro Martínez,Right Foot,Open Play,107.3,32.6,Goal,0.36148915,120,39.9,Lob,inside
Franco Zanelatto,Head,Open Play,108.2,34.1,Post,0.057872847,120,35.9,Normal,inside
Gianluca Lapadula Vargas,Left Foot,Open Play,63.9,34.8,Off T,0.004001445,120,37.6,Lob,outside
Jesús Castillo,Right Foot,Open Play,99.6,29.9,Blocked,0.030511705,104.1,31.6,Half Volley,outside
Giorgian De Arrascaeta,Right Foot,Open Play,98.4,25,Off T,0.02650812,120,34.3,Normal,outside
Federico Valverde,Right Foot,Open Play,95,47.3,Wayward,0.01963206,107.5,39.9,Volley,outside
Mathías Olivera,Head,Open Play,106.5,39.9,Blocked,0.057666644,109.6,40.7,Normal,inside
Darwin Núñez,Right Foot,Open Play,101.1,37.4,Blocked,0.05828208,103.7,38.1,Normal,outside
Ronald Araújo,Head,Open Play,109.6,37.1,Off T,0.04189841,120,42,Normal,inside
Adalberto Carrasquilla,Left Foot,Open Play,89.1,31.4,Saved,0.028493105,115.1,38.9,Normal,outside
Maximiliano Araújo,Head,Open Play,108.8,43.9,Off T,0.070025325,120,33.1,Normal,inside
Maximiliano Araújo,Left Foot,Open Play,101.1,26.2,Goal,0.040836003,120,43.5,Normal,outside
Darwin Núñez,Right Foot,Open Play,101.2,21.1,Saved,0.009347224,118.1,37,Normal,outside
Giorgian De Arrascaeta,Head,Open Play,109,43.3,Saved,0.076751575,119.2,39.2,Normal,inside
Maximiliano Araújo,Left Foot,Open Play,112.7,33.3,Saved,0.13748012,115.7,35.8,Half Volley,inside
Manuel Ugarte,Right Foot,Open Play,103.3,36.1,Blocked,0.08452085,108.3,37.7,Normal,inside
Darwin Núñez,Right Foot,Open Play,108.4,42,Saved,0.17982744,118,41.5,Half Volley,inside
José Fajardo Nelson,Right Foot,Open Play,94.7,34.7,Off T,0.03579944,120,45.7,Normal,outside
José Fajardo Nelson,Right Foot,Open Play,105.7,44.2,Wayward,0.052841816,107.8,39.1,Overhead Kick,inside
Darwin Núñez,Head,Open Play,113.9,35.9,Off T,0.13788295,120,48.4,Normal,inside
Federico Valverde,Right Foot,Open Play,88.9,25.9,Blocked,0.004379976,90,26.5,Normal,outside
José Fajardo Nelson,Right Foot,Open Play,106.4,54.5,Off T,0.087863006,120,45.9,Normal,inside
Roderick Miller,Head,Open Play,113.6,48.7,Off T,0.09082936,120,37.9,Normal,inside
José Rodríguez,Left Foot,Open Play,95.4,49.9,Off T,0.027473085,120,32.1,Normal,outside
José Rodríguez,Left Foot,Open Play,96.7,29.4,Saved,0.029238852,117.8,36.7,Normal,outside
Adalberto Carrasquilla,Left Foot,Open Play,97.4,43.7,Off T,0.03672279,120,33.7,Volley,outside
Federico Valverde,Right Foot,Open Play,94,25.7,Off T,0.020795967,120,45.7,Normal,outside
Federico Valverde,Right Foot,Open Play,109.7,50.1,Wayward,0.14185497,118,0.1,Normal,inside
Nicolás De La Cruz,Right Foot,Open Play,98.4,27.1,Off T,0.050415203,120,37.7,Normal,outside
Michael Murillo,Right Foot,Free Kick,97.4,32.3,Off T,0.07558904,120,37.8,Normal,outside
Maximiliano Araújo,Head,Open Play,110.4,32,Blocked,0.038855,112,33.5,Normal,inside
Darwin Núñez,Left Foot,Open Play,109.4,33.5,Goal,0.092181236,120,37.6,Volley,inside
Matías Viña,Head,Open Play,107.7,41.6,Goal,0.07229959,120,37,Normal,inside
Michael Murillo,Left Foot,Open Play,106.6,52.2,Goal,0.07603763,120,37.1,Normal,inside
Jonathan David,Right Foot,Open Play,77.6,60.8,Blocked,0.009542614,114.7,44.2,Lob,outside
Cyle Larin,Right Foot,Open Play,111.3,54.7,Blocked,0.054002397,116.4,47.6,Half Volley,inside
Jacob Shaffelburg,Right Foot,Open Play,113.1,45.3,Goal,0.15177043,120,43.2,Volley,inside
Richie Laryea,Left Foot,Open Play,99.5,49.9,Blocked,0.042074263,102.9,47.6,Normal,outside
Salomón Rondón,Head,Open Play,109,41.5,Off T,0.07880193,120,33.1,Normal,inside
Salomón Rondón,Right Foot,Open Play,92.1,44.2,Off T,0.041704517,120,50.5,Normal,outside
Salomón Rondón,Head,Open Play,114.3,34.3,Saved,0.128787,119.4,40,Normal,inside
Yeferson Soteldo,Right Foot,Open Play,93.9,36.5,Off T,0.03284804,120,46.4,Normal,outside
Jacob Shaffelburg,Right Foot,Open Play,102.5,40.3,Saved,0.065469265,118.7,42.8,Normal,inside
Yordan Osorio,Head,Open Play,111.9,38.7,Wayward,0.0825795,114.9,41.7,Normal,inside
Jonathan David,Right Foot,Open Play,102.3,41.7,Off T,0.34866372,120,46.2,Normal,inside
Yordan Osorio,Head,Open Play,112.2,44,Blocked,0.07829196,113.1,43.9,Normal,inside
Yangel Herrera,Right Foot,Open Play,109.1,17.7,Off T,0.007480312,120,29.4,Normal,outside
Richie Laryea,Right Foot,Open Play,110.8,52,Off T,0.05923465,120,34.3,Normal,inside
Salomón Rondón,Head,Open Play,114.5,34,Blocked,0.08970258,115.1,34.4,Normal,inside
Yeferson Soteldo,Right Foot,Open Play,102.9,32.8,Blocked,0.05245469,105.1,33.3,Half Volley,inside
Cyle Larin,Right Foot,Open Play,105.4,44,Off T,0.1635898,120,42.8,Normal,inside
José Martínez,Right Foot,Open Play,110.5,48.9,Off T,0.123976834,120,44.7,Normal,inside
Eduard Bello,Left Foot,Open Play,117.8,27.6,Saved,0.010347759,119.1,35.8,Volley,inside
Salomón Rondón,Right Foot,Open Play,71,33.7,Goal,0.019038264,120,40.3,Lob,outside
Liam Millar,Right Foot,Open Play,105.9,28,Saved,0.057872258,117.9,37.8,Normal,inside
Liam Millar,Right Foot,Open Play,116.8,27.6,Saved,0.026514582,118.7,34.6,Normal,inside
Jonathan David,Right Foot,Open Play,98.8,22.8,Off T,0.024432737,120,45.7,Normal,outside
Jhonder Cádiz,Left Foot,Open Play,98.8,37.2,Off T,0.05457485,120,36.2,Half Volley,outside
Tanitoluwa Oluwaseyi,Left Foot,Open Play,103.7,29.3,Off T,0.084993035,120,37.4,Normal,inside
Jhonder Cádiz,Right Foot,Open Play,110.9,24.4,Blocked,0.04166387,111.3,25.2,Normal,inside
Tanitoluwa Oluwaseyi,Left Foot,Open Play,111.9,48.5,Off T,0.12776527,120,36.5,Lob,inside
Miguel Ángel Navarro,Left Foot,Open Play,109.2,27.5,Off T,0.07980639,120,39.9,Half Volley,inside
Alistair Johnston,Right Foot,Open Play,110.9,58,Saved,0.011283025,119.1,44.7,Normal,inside
Ali Ahmed,Right Foot,Open Play,104.4,51.3,Off T,0.06594838,120,30.8,Normal,inside
Ismael Koné,Right Foot,Open Play,99.4,31.7,Off T,0.059437577,120,46.3,Normal,outside
Salomón Rondón,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,42.7,Normal,inside
Jonathan David,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,43.4,Normal,inside
Yangel Herrera,Right Foot,Penalty,107.8,40.1,Post,0.7835,120,36.1,Normal,inside
Liam Millar,Right Foot,Penalty,107.9,40.1,Off T,0.7835,120,42.5,Normal,inside
Tomás Rincón,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,38.9,Normal,inside
Moise Bombito,Right Foot,Penalty,107.9,40.1,Goal,0.7835,120,42.6,Normal,inside
Jefferson Savarino,Right Foot,Penalty,108.1,40.1,Saved to Post,0.7835,119.4,37.5,Normal,inside
Stephen Antunes Eustáquio,Right Foot,Penalty,107.8,40.1,Saved,0.7835,120,42.1,Normal,inside
Jhonder Cádiz,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,42.5,Normal,inside
Alphonso Davies,Left Foot,Penalty,107.8,40.1,Goal,0.7835,120,42,Normal,inside
Wílker Ángel,Right Foot,Penalty,107.9,40.1,Saved,0.7835,119.1,42.6,Normal,inside
Ismael Koné,Right Foot,Penalty,107.5,40.1,Goal,0.7835,120,38.1,Normal,inside
Jeremy Sarmiento,Right Foot,Open Play,114.4,31,Saved,0.119090974,116.2,33.9,Normal,inside
Kendry Páez,Right Foot,Open Play,102.6,37,Off T,0.063534886,120,41.2,Normal,inside
Angelo Preciado,Right Foot,Open Play,113.9,48,Off T,0.087274924,120,39.9,Volley,inside
Enzo Fernandez,Head,Open Play,106.2,36.7,Off T,0.02539963,120,45.8,Normal,inside
Enzo Fernandez,Right Foot,Open Play,104.5,50.4,Blocked,0.08614714,108.9,46.8,Normal,inside
Lisandro Martínez,Head,Open Play,117.4,34.7,Goal,0.37721914,120,39.3,Normal,inside
Enzo Fernandez,Left Foot,Open Play,107.7,29.4,Wayward,0.079341225,120,60.4,Half Volley,inside
Lautaro Martínez,Left Foot,Open Play,106,33.8,Off T,0.04993724,120,33,Volley,inside
Alan Franco,Head,Open Play,113.6,30.6,Blocked,0.05331348,114.3,31.7,Diving Header,inside
Enner Valencia,Right Foot,Penalty,108.1,40.1,Post,0.7835,120,36.1,Normal,inside
Lionel Messi,Right Foot,Open Play,108.5,29.7,Saved,0.11635901,117.9,37.2,Half Volley,inside
Lisandro Martínez,Left Foot,Open Play,102.5,36.8,Blocked,0.062190935,109.1,38.5,Volley,inside
Lisandro Martínez,Right Foot,Open Play,103.1,39.1,Wayward,0.06264355,109.2,46.7,Half Volley,inside
Ángel Mena,Left Foot,Free Kick,91.9,38.3,Blocked,0.05211886,102.3,37.7,Normal,outside
Jordy Josué Caicedo Medina,Left Foot,Open Play,113.3,25.3,Off T,0.01487915,120,35,Normal,inside
Kevin José Rodríguez Cortez,Head,Open Play,107.5,45.4,Goal,0.029018562,120,37.1,Normal,inside
Jordy Josué Caicedo Medina,Head,Open Play,113.3,37.3,Off T,0.18579678,120,47,Normal,inside
Lionel Messi,Left Foot,Penalty,108.1,40.1,Post,0.7835,120,39.2,Normal,inside
Ángel Mena,Left Foot,Penalty,108.1,40.1,Saved,0.7835,119,42.7,Normal,inside
Julián Álvarez,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,43.3,Normal,inside
Alan Steve Minda García,Right Foot,Penalty,108.1,40.1,Saved,0.7835,119.3,37.9,Normal,inside
Alexis MacAllister,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,43.6,Normal,inside
John Yeboah,Left Foot,Penalty,108.1,40.1,Goal,0.7835,120,43.4,Normal,inside
